 N§_boletim;data_hora_boletim;  seq_veic; cod_categ; descricao_categoria; cod_especie;  descricao_especie; cod_situacao; desc_situacao; tipo_socorro; desc_tipo_socorro
2023-006543462-001;09/02/2023 17:32;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÇO SE APLICA       
2023-007163424-001;13/02/2023 12:28;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÇO SE APLICA       
2023-011516540-001;10/03/2023 18:42;1;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;3;AMBULANCIA          
2023-011516540-001;10/03/2023 18:42;2;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÇO SE APLICA       
2023-014910158-001;30/03/2023 16:40;1;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;5;DISPENSOU ATENDIMEN 
2023-014910158-001;30/03/2023 16:40;2;3;PARTICULAR                    ;6;AUTOMOVEL                     ;2;PARADO         ;6;NÇO SE APLICA       
2023-015028212-001;31/03/2023 10:53;1;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;5;DISPENSOU ATENDIMEN 
2023-015028212-001;31/03/2023 10:53;2;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÇO SE APLICA       
2023-015058639-001;24/03/2023 22:30;2;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;5;DISPENSOU ATENDIMEN 
2023-015058639-001;24/03/2023 22:30;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÇO SE APLICA       
2023-019129491-001;23/04/2023 17:35;1;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;6;NÇO SE APLICA       
2023-019129491-001;23/04/2023 17:35;2;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;5;DISPENSOU ATENDIMEN 
2023-020344216-001;30/04/2023 19:43;1;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;3;AMBULANCIA          
2023-020344216-001;30/04/2023 19:43;2;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÇO SE APLICA       
2023-021441194-001;07/05/2023 14:20;1;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;5;DISPENSOU ATENDIMEN 
2023-021441194-001;07/05/2023 14:20;2;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÇO SE APLICA       
2023-037075769-001;09/08/2023 07:10;1;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;5;DISPENSOU ATENDIMEN 
2023-037075769-001;09/08/2023 07:10;2;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÇO SE APLICA       
2023-041293796-001;03/09/2023 12:48;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;2;PARADO         ;6;NÇO SE APLICA       
2023-041293796-001;03/09/2023 12:48;2;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;5;DISPENSOU ATENDIMEN 
2023-044420983-001;21/09/2023 18:11;1;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;3;AMBULANCIA          
2023-044420983-001;21/09/2023 18:11;2;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;3;AMBULANCIA          
2023-057487646-001;11/12/2023 08:50;1;3;PARTICULAR                    ;4;MOTOCICLETA                   ;2;PARADO         ;3;AMBULANCIA          
2023-057487646-001;11/12/2023 08:50;2;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÇO SE APLICA       
2023-038601335-001;17/08/2023 23:51;2;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÇO SE APLICA       
